State,Gender,Name,Count
AK,F,Amanda,1392
AK,M,James,5056
AK,M,David,4807
AK,M,John,4751
AK,M,Robert,3799
AK,M,Michael,7652
AK,F,Jennifer,2346
AK,F,Jessica,2239
AK,F,Sarah,1753
AK,F,Mary,2923
AL,F,Mary,104397
AL,F,Dorothy,15674
AL,F,Betty,23408
AL,F,Linda,25525
AL,M,Michael,46164
AL,M,Robert,58233
AL,M,John,84405
AL,M,William,89528
AL,M,James,158042
AL,F,Annie,24406
AR,F,Linda,17028
AR,M,John,41604
AR,F,Mary,53513
AR,F,Barbara,9297
AR,M,James,81997
AR,F,Betty,17119
AR,M,Robert,34987
AR,M,Michael,25162
AR,F,Dorothy,10201
AR,M,William,27336
AZ,F,Jessica,13160
AZ,F,Isabella,8190
AZ,M,David,23457
AZ,M,Robert,22884
AZ,M,Michael,40051
AZ,F,Mary,18920
AZ,M,Daniel,18313
AZ,F,Ashley,11882
AZ,M,John,17790
AZ,F,Jennifer,11870
CA,F,Ashley,82499
CA,F,Mary,120312
CA,F,Jessica,113571
CA,F,Jennifer,148345
CA,M,Robert,264126
CA,M,David,293379
CA,M,John,215196
CA,M,Daniel,165244
CA,M,Michael,372520
CA,F,Linda,90405
CO,F,Sarah,8804
CO,M,John,32524
CO,F,Jessica,12045
CO,F,Linda,10038
CO,M,David,25689
CO,F,Jennifer,14569
CO,M,James,25735
CO,M,Robert,36599
CO,M,Michael,42231
CO,F,Mary,27078
CT,F,Mary,37211
CT,M,James,27258
CT,F,Susan,15159
CT,F,Patricia,15325
CT,M,Robert,56266
CT,M,John,67037
CT,M,Michael,58201
CT,F,Linda,13234
CT,F,Jennifer,14880
CT,M,David,33135
DC,F,Patricia,10478
DC,F,Mary,20089
DC,M,William,20314
DC,F,Barbara,7634
DC,M,Robert,24780
DC,F,Linda,6138
DC,M,Michael,26425
DC,F,Lisa,4276
DC,M,John,32322
DC,M,James,32207
DE,M,John,12939
DE,F,Jessica,2067
DE,F,Barbara,2084
DE,M,Robert,9654
DE,F,Mary,7157
DE,F,Patricia,2587
DE,M,Michael,11662
DE,F,Jennifer,3019
DE,M,James,11240
DE,M,William,7791
FL,M,Robert,73828
FL,F,Ashley,35993
FL,F,Mary,52005
FL,M,Christopher,70057
FL,F,Isabella,29353
FL,M,James,110175
FL,M,John,68333
FL,F,Jennifer,37379
FL,F,Jessica,38384
FL,M,Michael,134383
GA,F,Annie,23165
GA,F,Jennifer,22262
GA,F,Betty,26756
GA,M,Michael,73844
GA,F,Linda,28904
GA,M,James,174240
GA,M,John,87499
GA,M,Robert,77416
GA,M,William,114630
GA,F,Mary,108263
HI,F,Susan,2337
HI,M,John,8561
HI,F,Mary,3126
HI,M,Robert,8551
HI,F,Jessica,2519
HI,F,Ashley,2267
HI,M,Michael,12162
HI,F,Jennifer,3873
HI,M,James,6625
HI,M,David,6160
IA,M,John,46779
IA,F,Jennifer,15213
IA,F,Susan,13952
IA,F,Dorothy,15325
IA,M,David,33927
IA,M,James,42226
IA,M,Michael,44024
IA,F,Linda,19811
IA,F,Mary,57306
IA,M,Robert,51434
ID,F,Jennifer,4712
ID,M,John,9775
ID,M,James,8617
ID,M,Michael,12747
ID,F,Susan,2650
ID,M,Robert,13306
ID,F,Mary,8097
ID,F,Jessica,3590
ID,M,David,8889
ID,F,Linda,4852
IL,F,Linda,59172
IL,M,Robert,231222
IL,M,Michael,229554
IL,F,Jennifer,56058
IL,M,James,204871
IL,F,Patricia,61900
IL,F,Mary,179968
IL,M,David,114605
IL,M,John,221332
IL,F,Susan,47413
IN,F,Patricia,22041
IN,F,Betty,21815
IN,M,David,63370
IN,M,James,105370
IN,M,Michael,99284
IN,M,Robert,96941
IN,F,Linda,33057
IN,F,Jennifer,26581
IN,F,Mary,89820
IN,M,John,90797
KS,M,John,34470
KS,M,Robert,41924
KS,F,Dorothy,10726
KS,F,Mary,39222
KS,F,Linda,14427
KS,M,James,36622
KS,M,David,21355
KS,M,Michael,35823
KS,F,Jennifer,11031
KS,F,Betty,12300
KY,F,Linda,23750
KY,F,Patricia,16109
KY,F,Dorothy,16345
KY,F,Betty,23207
KY,F,Mary,93202
KY,M,John,51013
KY,M,James,144652
KY,M,Robert,61040
KY,M,William,86233
