Rank,Male Name,Number of Males,Female Name,Number of Females
1,Jacob,"274,028",Emily,"223,748"
2,Michael,"250,679",Madison,"193,209"
3,Joshua,"232,023",Emma,"181,379"
4,Matthew,"221,605",Olivia,"156,040"
5,Daniel,"203,917",Hannah,"155,762"
6,Christopher,"203,363",Abigail,"150,916"
7,Andrew,"202,561",Isabella,"149,558"
8,Ethan,"201,816",Samantha,"134,304"
9,Joseph,"194,903",Elizabeth,"133,543"
10,William,"194,390",Ashley,"133,043"
11,Anthony,"191,907",Alexis,"130,826"
12,David,"180,041",Sarah,"124,503"
13,Alexander,"178,829",Sophia,"119,243"
14,Nicholas,"177,600",Alyssa,"114,502"
15,Ryan,"173,231",Grace,"110,712"
16,Tyler,"165,578",Ava,"104,535"
17,James,"163,165",Taylor,"100,993"
18,John,"161,057",Brianna,"99,791"
19,Jonathan,"144,832",Lauren,"97,156"
20,Noah,"143,500",Chloe,"96,493"
21,Brandon,"142,989",Natalie,"95,089"
22,Christian,"142,411",Kayla,"94,353"
23,Dylan,"140,117",Jessica,"90,660"
24,Samuel,"138,587",Anna,"90,282"
25,Benjamin,"137,288",Victoria,"84,958"
26,Nathan,"134,844",Mia,"83,509"
27,Zachary,"134,753",Hailey,"81,984"
28,Logan,"134,026",Sydney,"76,439"
29,Justin,"122,982",Jasmine,"76,069"
30,Gabriel,"119,820",Julia,"70,875"
31,Jose,"115,730",Morgan,"70,746"
32,Austin,"112,764",Destiny,"69,809"
33,Kevin,"111,075",Rachel,"68,369"
34,Elijah,"110,405",Ella,"67,522"
35,Caleb,"110,076",Kaitlyn,"66,907"
36,Robert,"106,650",Megan,"66,832"
37,Thomas,"102,097",Katherine,"65,351"
38,Jordan,"101,174",Savannah,"64,752"
39,Cameron,"95,891",Jennifer,"63,501"
40,Jack,"95,507",Alexandra,"61,247"
41,Hunter,"94,851",Allison,"59,964"
42,Jackson,"94,486",Haley,"57,052"
43,Angel,"94,327",Maria,"56,988"
44,Isaiah,"92,772",Kaylee,"56,428"
45,Evan,"92,140",Lily,"56,182"
46,Isaac,"90,741",Makayla,"54,981"
47,Luke,"90,495",Brooke,"54,685"
48,Mason,"90,494",Nicole,"54,577"
49,Jayden,"88,592",Mackenzie,"54,550"
50,Jason,"88,551",Addison,"51,383"
51,Gavin,"88,440",Stephanie,"49,955"
52,Aaron,"86,974",Lillian,"49,387"
53,Connor,"85,982",Andrea,"49,182"
54,Aiden,"83,545",Faith,"48,779"
55,Aidan,"76,507",Zoe,"48,752"
56,Kyle,"76,151",Kimberly,"48,488"
57,Juan,"75,843",Madeline,"48,278"
58,Charles,"75,325",Alexa,"48,110"
59,Luis,"74,325",Katelyn,"47,837"
60,Adam,"71,022",Gabriella,"47,394"
61,Lucas,"70,985",Gabrielle,"47,019"
62,Brian,"69,769",Trinity,"46,885"
63,Eric,"69,476",Amanda,"46,634"
64,Adrian,"66,115",Kylie,"46,437"
65,Nathaniel,"64,259",Mary,"46,286"
66,Sean,"64,128",Paige,"45,575"
67,Alex,"63,775",Riley,"45,530"
68,Carlos,"63,188",Leah,"45,423"
69,Bryan,"61,927",Jenna,"45,295"
70,Ian,"61,923",Sara,"44,043"
71,Owen,"61,873",Rebecca,"43,714"
72,Jesus,"61,311",Michelle,"43,537"
73,Landon,"61,124",Sofia,"43,376"
74,Julian,"60,385",Vanessa,"43,229"
75,Chase,"57,166",Jordan,"43,182"
76,Cole,"56,841",Angelina,"42,809"
77,Diego,"56,034",Caroline,"41,844"
78,Jeremiah,"55,664",Avery,"41,706"
79,Steven,"53,906",Audrey,"41,513"
80,Sebastian,"53,860",Evelyn,"40,726"
81,Xavier,"52,477",Maya,"40,029"
82,Timothy,"52,458",Claire,"39,006"
83,Carter,"52,319",Autumn,"38,531"
84,Wyatt,"51,344",Jocelyn,"38,385"
85,Brayden,"50,378",Ariana,"38,006"
86,Blake,"50,106",Nevaeh,"37,943"
87,Hayden,"50,049",Arianna,"37,836"
88,Devin,"49,424",Jada,"37,076"
89,Cody,"48,881",Bailey,"36,878"
90,Richard,"48,580",Brooklyn,"36,862"
91,Seth,"48,159",Aaliyah,"36,377"
92,Dominic,"48,110",Amber,"36,215"
93,Jaden,"46,271",Isabel,"36,036"
94,Antonio,"46,241",Mariah,"35,682"
95,Miguel,"46,095",Danielle,"35,621"
96,Liam,"44,937",Melanie,"35,225"
97,Patrick,"44,781",Sierra,"34,529"
98,Carson,"44,629",Erin,"33,367"
99,Jesse,"43,388",Amelia,"33,284"
100,Tristan,"43,295",Molly,"33,265"
101,Alejandro,"43,111",Isabelle,"32,867"
102,Henry,"42,727",Melissa,"32,621"
103,Victor,"40,681",Madelyn,"32,619"
104,Trevor,"40,051",Jacqueline,"32,118"
105,Bryce,"39,877",Marissa,"32,068"
106,Jake,"39,840",Angela,"31,315"
107,Riley,"39,619",Shelby,"31,308"
108,Colin,"39,127",Leslie,"31,051"
109,Jared,"38,016",Katie,"30,568"
110,Jeremy,"37,488",Jade,"30,290"
111,Mark,"37,255",Catherine,"29,699"
112,Caden,"36,736",Diana,"29,542"
113,Garrett,"36,223",Aubrey,"29,535"
114,Parker,"35,727",Mya,"28,801"
115,Marcus,"35,666",Amy,"28,757"
116,Vincent,"35,266",Briana,"28,715"
117,Kaleb,"34,759",Sophie,"28,682"
118,Kaden,"34,635",Gabriela,"28,536"
119,Brady,"34,304",Breanna,"28,026"
120,Colton,"34,247",Gianna,"27,855"
121,Kenneth,"34,089",Kennedy,"27,568"
122,Joel,"33,671",Gracie,"27,484"
123,Oscar,"33,542",Peyton,"27,474"
124,Josiah,"33,249",Adriana,"27,400"
125,Jorge,"33,026",Christina,"27,171"
126,Ashton,"32,445",Courtney,"26,978"
127,Cooper,"32,436",Daniela,"26,639"
128,Tanner,"31,681",Lydia,"26,387"
129,Eduardo,"31,404",Kathryn,"26,301"
130,Paul,"30,950",Valeria,"26,212"
131,Edward,"30,818",Layla,"26,204"
132,Ivan,"30,711",Alexandria,"25,931"
133,Preston,"30,326",Natalia,"25,529"
134,Maxwell,"30,048",Angel,"25,440"
135,Alan,"29,646",Laura,"25,029"
136,Levi,"29,427",Charlotte,"24,263"
137,Stephen,"28,897",Margaret,"23,912"
138,Grant,"28,414",Cheyenne,"23,908"
139,Nicolas,"28,264",Naomi,"23,751"
140,Dakota,"28,176",Miranda,"23,738"
141,Omar,"28,159",Mikayla,"23,730"
142,Alexis,"28,027",Kelsey,"23,380"
143,George,"28,003",Payton,"23,377"
144,Eli,"27,991",Ana,"23,200"
145,Collin,"27,830",Alicia,"23,152"
146,Spencer,"27,451",Jillian,"22,819"
147,Gage,"27,419",Daisy,"22,805"
148,Max,"27,367",Mckenzie,"22,566"
