State,Gender,Year,Name,Count
AK,F,1910,Mary,14
AK,F,1910,Annie,12
AK,F,1910,Anna,10
AK,F,1910,Margaret,8
AK,F,1910,Helen,7
AK,M,1910,John,8
AK,M,1910,James,7
AK,M,1910,Paul,6
AK,M,1910,Robert,6
AK,M,1910,Carl,5
AL,F,1910,Mary,875
AL,F,1910,Annie,482
AL,F,1910,Willie,257
AL,F,1910,Mattie,232
AL,F,1910,Ruby,204
AL,M,1910,James,486
AL,M,1910,John,399
AL,M,1910,William,343
AL,M,1910,Willie,343
AL,M,1910,Robert,277
AR,F,1910,Mary,408
AR,F,1910,Ruby,148
AR,F,1910,Ruth,140
AR,F,1910,Willie,132
AR,F,1910,Ethel,109
AR,M,1910,James,231
AR,M,1910,William,203
AR,M,1910,John,188
AR,M,1910,Robert,128
AR,M,1910,Willie,127
AZ,F,1910,Mary,74
AZ,F,1910,Maria,29
AZ,F,1910,Alice,27
AZ,F,1910,Margaret,19
AZ,F,1910,Helen,18
AZ,M,1910,John,39
AZ,M,1910,Manuel,29
AZ,M,1910,Joe,27
AZ,M,1910,William,24
AZ,M,1910,Frank,22
CA,F,1910,Mary,295
CA,F,1910,Helen,239
CA,F,1910,Dorothy,220
CA,F,1910,Margaret,163
CA,F,1910,Frances,134
CA,M,1910,John,237
CA,M,1910,William,170
CA,M,1910,James,159
CA,M,1910,Robert,141
CA,M,1910,George,138
CO,F,1910,Mary,193
CO,F,1910,Helen,112
CO,F,1910,Dorothy,87
CO,F,1910,Ruth,68
CO,F,1910,Margaret,67
CO,M,1910,John,99
CO,M,1910,James,66
CO,M,1910,Charles,51
CO,M,1910,William,51
CO,M,1910,Robert,49
CT,F,1910,Mary,304
CT,F,1910,Helen,170
CT,F,1910,Anna,131
CT,F,1910,Margaret,99
CT,F,1910,Dorothy,90
CT,M,1910,John,124
CT,M,1910,Joseph,103
CT,M,1910,William,78
CT,M,1910,Charles,63
CT,M,1910,Edward,63
DC,F,1910,Mary,80
DC,F,1910,Margaret,72
DC,F,1910,Helen,52
DC,F,1910,Dorothy,50
DC,F,1910,Elizabeth,34
DC,M,1910,James,78
DC,M,1910,John,61
DC,M,1910,William,61
DC,M,1910,Robert,36
DC,M,1910,Charles,33
DE,F,1910,Mary,59
DE,F,1910,Margaret,40
DE,F,1910,Helen,37
DE,F,1910,Elizabeth,27
DE,F,1910,Anna,20
DE,M,1910,William,28
DE,M,1910,James,23
DE,M,1910,John,21
DE,M,1910,Joseph,21
DE,M,1910,Charles,19
FL,F,1910,Mary,239
FL,F,1910,Annie,101
FL,F,1910,Ethel,82
FL,F,1910,Willie,71
FL,F,1910,Louise,70
FL,M,1910,James,204
FL,M,1910,John,184
FL,M,1910,Willie,140
FL,M,1910,William,118
FL,M,1910,Robert,100
GA,F,1910,Mary,841
GA,F,1910,Annie,553
GA,F,1910,Mattie,320
GA,F,1910,Ruby,279
GA,F,1910,Willie,275
GA,M,1910,James,673
GA,M,1910,Willie,561
GA,M,1910,John,557
GA,M,1910,William,415
GA,M,1910,Robert,358
HI,F,1910,Mary,47
HI,F,1910,Helen,20
HI,F,1910,Alice,19
HI,F,1910,Rose,18
HI,F,1910,Violet,16
HI,M,1910,John,22
HI,M,1910,Joseph,18
HI,M,1910,George,17
HI,M,1910,William,14
HI,M,1910,Henry,13
IA,F,1910,Helen,249
IA,F,1910,Mary,239
IA,F,1910,Dorothy,185
IA,F,1910,Mildred,162
IA,F,1910,Ruth,155
IA,M,1910,John,124
IA,M,1910,William,94
IA,M,1910,Harold,80
IA,M,1910,Robert,80
IA,M,1910,George,74
ID,F,1910,Mary,53
ID,F,1910,Dorothy,31
ID,F,1910,Helen,30
ID,F,1910,Margaret,24
ID,F,1910,Ruth,24
ID,M,1910,John,34
ID,M,1910,William,29
ID,M,1910,James,28
ID,M,1910,Robert,25
ID,M,1910,George,18
IL,F,1910,Mary,1076
IL,F,1910,Helen,917
IL,F,1910,Dorothy,553
IL,F,1910,Margaret,501
IL,F,1910,Mildred,426
IL,M,1910,John,644
IL,M,1910,William,422
IL,M,1910,Joseph,364
IL,M,1910,James,329
IL,M,1910,George,278
IN,F,1910,Mary,619
IN,F,1910,Helen,324
IN,F,1910,Ruth,238
IN,F,1910,Dorothy,215
IN,F,1910,Mildred,200
IN,M,1910,William,164
IN,M,1910,John,156
IN,M,1910,Robert,131
IN,M,1910,James,126
IN,M,1910,Charles,125
KS,F,1910,Mary,251
KS,F,1910,Helen,172
KS,F,1910,Dorothy,144
