Year,Name,Count
1910,Anna,9
1910,Edna,1
1910,Elizabeth,11
1910,James,40
1910,John,51
1910,Joseph,14
1910,Maria,2
1910,Mary,51
1910,Paul,1
1911,Anna,5
1911,Elizabeth,8
1911,James,37
1911,John,51
1911,Joseph,15
1911,Maria,2
1911,Mary,51
1911,Peter,1
1912,Anna,6
1912,Elizabeth,9
1912,James,37
1912,John,51
1912,Joseph,11
1912,Maria,2
1912,Mary,50
1912,Thomas,1
1913,Anna,5
1913,Elizabeth,9
1913,James,33
1913,John,51
1913,Joseph,16
1913,Maria,2
1913,Mary,51
1914,Anna,5
1914,Elizabeth,9
1914,James,33
1914,John,51
1914,Joseph,14
1914,Maria,2
1914,Mary,51
1915,Anna,7
1915,Elizabeth,3
1915,James,34
1915,John,51
1915,Joseph,12
1915,Maria,2
1915,Mary,51
1916,Andrew,1
1916,Anna,5
1916,Elizabeth,5
1916,James,38
1916,John,51
1916,Joseph,13
1916,Maria,2
1916,Mary,51
1917,Anna,5
1917,Elizabeth,2
1917,James,37
1917,John,51
1917,Joseph,10
1917,Maria,2
1917,Mary,51
1918,Anna,4
1918,Elizabeth,2
1918,James,36
1918,John,51
1918,Joseph,12
1918,Maria,2
1918,Martha,1
1918,Mary,51
1919,Anna,4
1919,Elizabeth,2
1919,James,33
1919,John,51
1919,Joseph,10
1919,Maria,2
1919,Mary,51
1920,Anna,2
1920,Elizabeth,2
1920,James,38
1920,John,51
1920,Joseph,9
1920,Maria,3
1920,Martha,1
1920,Mary,51
1920,Paul,1
1921,Anna,5
1921,Elizabeth,3
1921,James,44
1921,John,51
1921,Joseph,9
1921,Maria,3
1921,Mary,51
1922,Anna,4
1922,David,1
1922,Elizabeth,2
1922,James,42
1922,John,51
1922,Joseph,9
1922,Maria,3
1922,Mary,51
1923,Anna,2
1923,Elizabeth,2
1923,James,43
1923,John,51
1923,Joseph,8
1923,Maria,3
1923,Mary,51
1924,Anna,3
1924,Elizabeth,3
1924,James,43
1924,John,51
1924,Joseph,8
1924,Maria,3
1924,Mary,51
1924,Paul,1
1925,Anna,2
1925,Elizabeth,4
1925,James,41
1925,John,51
1925,Joseph,9
1925,Maria,3
1925,Mary,51
1926,Anna,3
1926,Elizabeth,2
1926,James,41
1926,John,51
1926,Joseph,8
1926,Maria,3
1926,Mary,51
1926,Paul,1
1927,Anna,2
1927,Elizabeth,1
1927,James,41
1927,John,51
1927,Joseph,7
1927,Maria,3
1927,Mary,51
1928,Anna,2
1928,James,39
1928,John,50
1928,Joseph,8
1928,Maria,3
