Year,Name,Count
1910,Mary,51
1910,Elizabeth,11
1911,Mary,51
1911,Elizabeth,8
1912,Mary,50
1912,Elizabeth,9
1913,Mary,51
1913,Elizabeth,9
1914,Mary,51
1914,Elizabeth,9
1915,Mary,51
1915,Anna,7
1916,Mary,51
1916,Anna,5
1917,Mary,51
1917,Anna,5
1918,Mary,51
1918,Anna,4
1919,Mary,51
1919,Anna,4
1920,Mary,51
1920,Maria,3
1921,Mary,51
1921,Anna,5
1922,Mary,51
1922,Anna,4
1923,Mary,51
1923,Maria,3
1924,Mary,51
1924,Anna,3
1925,Mary,51
1925,Elizabeth,4
1926,Mary,51
1926,Anna,3
1927,Mary,51
1927,Maria,3
1928,Mary,51
1928,Maria,3
1929,Mary,51
1929,Maria,3
1930,Mary,51
1930,Anna,3
1931,Mary,51
1931,Maria,2
1932,Mary,51
1932,Anna,3
1933,Mary,51
1933,Maria,2
1934,Mary,51
1934,Maria,2
1935,Mary,51
1935,Anna,2
1936,Mary,50
1936,Anna,2
1937,Mary,51
1937,Maria,2
1938,Mary,50
1938,Maria,1
1939,Mary,51
1939,Judith,8
1940,Mary,50
1940,Judith,14
1941,Mary,50
1941,Judith,15
1942,Mary,51
1942,Judith,9
1943,Mary,50
1943,Judith,7
1944,Mary,50
1944,Judith,5
1945,Mary,50
1945,Judith,3
1946,Mary,49
1946,Maria,1
1947,Mary,49
1947,Maria,1
1948,Mary,50
1948,Maria,1
1949,Mary,50
1949,Maria,1
1950,Mary,49
1950,Deborah,4
1951,Mary,48
1951,Deborah,28
1952,Mary,47
1952,Deborah,35
1953,Mary,49
1953,Deborah,38
1954,Mary,49
1954,Deborah,38
1955,Mary,49
1955,Deborah,36
1956,Mary,49
1956,Deborah,28
1957,Mary,49
1957,Deborah,24
1958,Mary,49
1958,Deborah,13
1959,Mary,48
1959,Deborah,6
1960,Mary,47
1960,Deborah,1
1961,Mary,45
1961,Deborah,1
1962,Mary,46
1962,Elizabeth,1
1963,Mary,46
1963,Maria,1
1964,Mary,49
1964,Maria,1
1965,Mary,46
1965,Deborah,1
1966,Mary,36
1966,Elizabeth,2
1967,Mary,25
1967,Maria,2
1968,Mary,7
1968,Maria,1
1969,Mary,4
1969,Elizabeth,2
1970,Mary,3
1970,Maria,1
1971,Mary,3
1971,Maria,1
1972,Maria,1
1972,Mary,1
1973,Maria,2
1973,Rebecca,2
1974,Maria,2
1974,Rebecca,1
1975,Maria,2
1975,Sarah,1
1976,Sarah,6
1976,Maria,2
1977,Sarah,14
1977,Elizabeth,1
1978,Sarah,21
1978,Elizabeth,1
1979,Sarah,20
1979,Elizabeth,3
1980,Sarah,31
1980,Elizabeth,2
1981,Sarah,35
1981,Elizabeth,1
1982,Sarah,35
1982,Elizabeth,2
1983,Sarah,31
1983,Elizabeth,2
1984,Sarah,23
1984,Elizabeth,2
1985,Sarah,17
1985,Elizabeth,1
1986,Sarah,35
1987,Sarah,37
1988,Sarah,38
1988,Elizabeth,1
1989,Sarah,33
1989,Elizabeth,1
1990,Sarah,20
1991,Sarah,27
1991,Elizabeth,1
1992,Sarah,31
1992,Elizabeth,2
1993,Sarah,32
1993,Elizabeth,2
1994,Sarah,31
1994,Hannah,1
1995,Sarah,22
1995,Hannah,16
1996,Hannah,26
1996,Sarah,24
1997,Hannah,37
1997,Sarah,31
1998,Hannah,36
1998,Sarah,18
1999,Hannah,39
1999,Sarah,21
2000,Hannah,43
2000,Sarah,20
2001,Hannah,42
2001,Sarah,15
2002,Hannah,35
2002,Abigail,20
2003,Hannah,34
2003,Abigail,16
2004,Hannah,24
2004,Abigail,17
2005,Abigail,20
2005,Hannah,19
2006,Hannah,18
2006,Abigail,16
2007,Abigail,18
2007,Hannah,6
2008,Abigail,16
2008,Chloe,4
2009,Abigail,17
2009,Anna,2
2010,Abigail,9
2010,Chloe,3
2011,Abigail,5
2011,Chloe,1
2012,Abigail,7
2012,Chloe,2
2013,Abigail,7
2013,Chloe,1
2014,Abigail,8
2014,Elizabeth,3
2015,Abigail,3
2015,Elizabeth,2
2016,Abigail,4
2016,Elizabeth,2
2017,Chloe,1
2018,Elizabeth,2
2018,Abigail,1
2019,Elizabeth,1
2023,Elizabeth,1
