Year,Name,Count
1910,John,51
1910,James,40
1911,John,51
1911,James,37
1912,John,51
1912,James,37
1913,John,51
1913,James,33
1914,John,51
1914,James,33
1915,John,51
1915,James,34
1916,John,51
1916,James,38
1917,John,51
1917,James,37
1918,John,51
1918,James,36
1919,John,51
1919,James,33
1920,John,51
1920,James,38
1921,John,51
1921,James,44
1922,John,51
1922,James,42
1923,John,51
1923,James,43
1924,John,51
1924,James,43
1925,John,51
1925,James,41
1926,John,51
1926,James,41
1927,John,51
1927,James,41
1928,John,50
1928,James,39
1929,John,49
1929,James,38
1930,John,46
1930,James,41
1931,John,49
1931,James,43
1932,John,49
1932,James,45
1933,John,50
1933,James,44
1934,John,50
1934,James,48
1935,John,50
1935,James,46
1936,John,50
1936,James,45
1937,John,50
1937,James,45
1938,John,50
1938,James,48
1939,John,50
1939,James,46
1940,John,51
1940,James,46
1941,James,49
1941,John,49
1942,James,49
1942,John,49
1943,John,50
1943,James,49
1944,James,51
1944,John,49
1945,James,50
1945,John,50
1946,John,51
1946,James,50
1947,James,49
1947,John,49
1948,James,50
1948,John,50
1949,John,50
1949,James,48
1950,John,51
1950,James,44
1951,James,47
1951,John,47
1952,John,49
1952,James,44
1953,James,46
1953,John,44
1954,Michael,47
1954,James,45
1955,Michael,48
1955,David,47
1956,Michael,50
1956,David,45
1957,Michael,49
1957,James,47
1958,David,50
1958,Michael,50
1959,Michael,51
1959,David,50
1960,David,51
1960,Michael,51
1961,David,51
1961,Michael,51
1962,Michael,51
1962,David,50
1963,Michael,51
1963,David,50
1964,Michael,51
1964,David,50
1965,John,51
1965,Michael,51
1966,James,51
1966,Michael,51
1967,David,51
1967,Michael,51
1968,Michael,51
1968,David,50
1969,Michael,51
1969,David,48
1970,Michael,51
1970,David,49
1971,Michael,51
1971,David,46
1972,Michael,51
1972,David,38
1973,Michael,51
1973,Jason,39
1974,Michael,51
1974,Jason,45
1975,Michael,51
1975,Jason,47
1976,Michael,51
1976,Jason,49
1977,Michael,51
1977,Jason,50
1978,Michael,51
1978,Jason,49
1979,Michael,51
1979,Jason,47
1980,Michael,51
1980,Jason,44
1981,Michael,51
1981,Matthew,34
1982,Michael,51
1982,Matthew,34
1983,Michael,51
1983,Matthew,48
1984,Michael,51
1984,Matthew,49
1985,Michael,51
1985,Matthew,41
1986,Michael,51
1986,Matthew,47
1987,Michael,51
1987,Matthew,45
1988,Michael,51
1988,Joshua,44
1989,Michael,51
1989,Joshua,41
1990,Michael,51
1990,Matthew,41
1991,Michael,51
1991,Joshua,41
1992,Michael,50
1992,Joshua,35
1993,Michael,50
1993,Joshua,30
1994,Michael,46
1994,Jacob,28
1995,Michael,41
1995,Jacob,31
1996,Michael,42
1996,Jacob,32
1997,Michael,42
1997,Jacob,39
1998,Jacob,43
1998,Michael,42
1999,Jacob,42
1999,Michael,39
2000,Jacob,45
2000,Michael,41
2001,Jacob,46
2001,Michael,33
2002,Jacob,46
2002,Joshua,33
2003,Jacob,44
2003,Joshua,31
2004,Jacob,44
2004,Ethan,31
2005,Jacob,43
2005,Ethan,27
2006,Jacob,44
2006,Ethan,26
2007,Jacob,40
2007,Ethan,30
2008,Jacob,41
2008,Ethan,29
2009,Jacob,37
2009,Ethan,28
2010,Jacob,43
2010,Ethan,18
2011,Jacob,37
2011,Michael,12
2012,Jacob,31
2012,Ethan,17
2013,Jacob,20
2013,Elijah,12
2014,Jacob,14
2014,Elijah,11
2015,James,17
2015,Elijah,11
2016,James,16
2016,Elijah,15
2017,Elijah,16
2017,James,15
2018,Elijah,18
2018,James,13
2019,Elijah,18
2019,James,16
2020,Elijah,21
2020,James,14
2021,Elijah,16
2021,James,16
2022,James,17
2022,Elijah,7
2023,James,16
2023,Elijah,12
